[Subscriber{id=0, firstName='Абрам', lastName='Смирнов', gender=м, age=84, phoneNumber='380670832861', operator=Kievstar}
, Subscriber{id=1, firstName='Августина', lastName='Ильина', gender=ж, age=36, phoneNumber='380735817927', operator=Life}
, Subscriber{id=2, firstName='Аввакум', lastName='Кузнецов', gender=м, age=27, phoneNumber='380637095924', operator=Life}
, Subscriber{id=3, firstName='Авигея', lastName='Титова', gender=ж, age=39, phoneNumber='380675850395', operator=Kievstar}
, Subscriber{id=4, firstName='Августин', lastName='Соколов', gender=м, age=61, phoneNumber='380951169578', operator=Vodafone}
, Subscriber{id=5, firstName='Авдей', lastName='Лебедев', gender=м, age=49, phoneNumber='380509589957', operator=Vodafone}
, Subscriber{id=6, firstName='Агния', lastName='Баранова', gender=ж, age=44, phoneNumber='380738525787', operator=Life}
, Subscriber{id=7, firstName='Автандил', lastName='Новиков', gender=м, age=41, phoneNumber='380668158733', operator=Vodafone}
, Subscriber{id=8, firstName='Адель', lastName='Алексеева', gender=ж, age=60, phoneNumber='380957622971', operator=Vodafone}
, Subscriber{id=9, firstName='Аделия', lastName='Степанова', gender=ж, age=54, phoneNumber='380983381409', operator=Kievstar}
, Subscriber{id=10, firstName='Адельфина', lastName='Яковалева', gender=ж, age=87, phoneNumber='380956427616', operator=Vodafone}
, Subscriber{id=11, firstName='Аделина', lastName='Сорокина', gender=ж, age=39, phoneNumber='380959973648', operator=Vodafone}
, Subscriber{id=12, firstName='Адис', lastName='Васильев', gender=м, age=11, phoneNumber='380988198461', operator=Kievstar}
, Subscriber{id=13, firstName='Азалия', lastName='Романова', gender=ж, age=43, phoneNumber='380734718302', operator=Life}
, Subscriber{id=14, firstName='Адриан', lastName='Павлов', gender=м, age=82, phoneNumber='380983218561', operator=Kievstar}
, Subscriber{id=15, firstName='Аида', lastName='Борисова', gender=ж, age=73, phoneNumber='380739547442', operator=Life}
, Subscriber{id=16, firstName='Айлин', lastName='Королева', gender=ж, age=69, phoneNumber='380667024497', operator=Vodafone}
, Subscriber{id=17, firstName='Айнур', lastName='Виноградов', gender=м, age=63, phoneNumber='380930468164', operator=Life}
, Subscriber{id=18, firstName='Айрат', lastName='Богданов', gender=м, age=40, phoneNumber='380671039091', operator=Kievstar}
, Subscriber{id=19, firstName='Аким', lastName='Воробьёв', gender=м, age=6, phoneNumber='380660953434', operator=Vodafone}
, Subscriber{id=20, firstName='Александрина', lastName='Лазарева', gender=ж, age=69, phoneNumber='380733390903', operator=Life}
, Subscriber{id=21, firstName='Алей', lastName='Михайлов', gender=м, age=17, phoneNumber='380630875610', operator=Life}
, Subscriber{id=22, firstName='Алина', lastName='Ершова', gender=ж, age=11, phoneNumber='380981899782', operator=Kievstar}
, Subscriber{id=23, firstName='Алиса', lastName='Никитина', gender=ж, age=72, phoneNumber='380951669241', operator=Vodafone}
, Subscriber{id=24, firstName='Алира', lastName='Соболева', gender=ж, age=49, phoneNumber='380668270195', operator=Vodafone}
, Subscriber{id=25, firstName='Алла', lastName='Рябова', gender=ж, age=55, phoneNumber='380953193417', operator=Vodafone}
, Subscriber{id=26, firstName='Альберта', lastName='Полякова', gender=ж, age=74, phoneNumber='380932760930', operator=Life}
, Subscriber{id=27, firstName='Амадей', lastName='Киселёв', gender=м, age=20, phoneNumber='380633119213', operator=Life}
, Subscriber{id=28, firstName='Альвина', lastName='Данилова', gender=ж, age=32, phoneNumber='380958437244', operator=Vodafone}
, Subscriber{id=29, firstName='Альжбета', lastName='Жукова', gender=ж, age=5, phoneNumber='380950991311', operator=Vodafone}
, Subscriber{id=30, firstName='Амелия', lastName='Фролова', gender=ж, age=46, phoneNumber='380974910297', operator=Kievstar}
, Subscriber{id=31, firstName='Ананий', lastName='Ильин', gender=м, age=80, phoneNumber='380660290972', operator=Vodafone}
, Subscriber{id=32, firstName='Анастасий', lastName='Гусев', gender=м, age=86, phoneNumber='380662353239', operator=Vodafone}
