{0=Subscriber{id=0, firstName='Абрам', lastName='Смирнов', gender=м, age=84, phoneNumber='380670832861', operator=Kievstar}
, 1=Subscriber{id=1, firstName='Августина', lastName='Ильина', gender=ж, age=36, phoneNumber='380735817927', operator=Life}
, 2=Subscriber{id=2, firstName='Аввакум', lastName='Кузнецов', gender=м, age=27, phoneNumber='380637095924', operator=Life}
, 3=Subscriber{id=3, firstName='Авигея', lastName='Титова', gender=ж, age=39, phoneNumber='380675850395', operator=Kievstar}
, 4=Subscriber{id=4, firstName='Августин', lastName='Соколов', gender=м, age=61, phoneNumber='380951169578', operator=Vodafone}
, 5=Subscriber{id=5, firstName='Авдей', lastName='Лебедев', gender=м, age=49, phoneNumber='380509589957', operator=Vodafone}
, 6=Subscriber{id=6, firstName='Агния', lastName='Баранова', gender=ж, age=44, phoneNumber='380738525787', operator=Life}
, 7=Subscriber{id=7, firstName='Автандил', lastName='Новиков', gender=м, age=41, phoneNumber='380668158733', operator=Vodafone}
, 8=Subscriber{id=8, firstName='Адель', lastName='Алексеева', gender=ж, age=60, phoneNumber='380957622971', operator=Vodafone}
, 9=Subscriber{id=9, firstName='Аделия', lastName='Степанова', gender=ж, age=54, phoneNumber='380983381409', operator=Kievstar}
, 10=Subscriber{id=10, firstName='Адельфина', lastName='Яковалева', gender=ж, age=87, phoneNumber='380956427616', operator=Vodafone}
, 11=Subscriber{id=11, firstName='Аделина', lastName='Сорокина', gender=ж, age=39, phoneNumber='380959973648', operator=Vodafone}
, 12=Subscriber{id=12, firstName='Адис', lastName='Васильев', gender=м, age=11, phoneNumber='380988198461', operator=Kievstar}
, 13=Subscriber{id=13, firstName='Азалия', lastName='Романова', gender=ж, age=43, phoneNumber='380734718302', operator=Life}
, 14=Subscriber{id=14, firstName='Адриан', lastName='Павлов', gender=м, age=82, phoneNumber='380983218561', operator=Kievstar}
, 15=Subscriber{id=15, firstName='Аида', lastName='Борисова', gender=ж, age=73, phoneNumber='380739547442', operator=Life}
, 16=Subscriber{id=16, firstName='Айлин', lastName='Королева', gender=ж, age=69, phoneNumber='380667024497', operator=Vodafone}
, 17=Subscriber{id=17, firstName='Айнур', lastName='Виноградов', gender=м, age=63, phoneNumber='380930468164', operator=Life}
, 18=Subscriber{id=18, firstName='Айрат', lastName='Богданов', gender=м, age=40, phoneNumber='380671039091', operator=Kievstar}
, 19=Subscriber{id=19, firstName='Аким', lastName='Воробьёв', gender=м, age=6, phoneNumber='380660953434', operator=Vodafone}
, 20=Subscriber{id=20, firstName='Александрина', lastName='Лазарева', gender=ж, age=69, phoneNumber='380733390903', operator=Life}
